"Source","Destination","Alt Text","Anchor","Target","Rel"
"https://wealthsimplebonus.ca/","https://wealthsimple.com/invite/9C6DMQ","","Use our Wealthsimple Referral link","_blank",""
"https://wealthsimplebonus.ca/fr","https://wealthsimple.com/invite/9C6DMQ","","Utilisez notre lien de parrainage Wealthsimple","_blank",""
"https://wealthsimplebonus.ca/how-it-works","https://wealthsimple.com/invite/9C6DMQ","","referral link","_blank",""
"https://wealthsimplebonus.ca/fr/comment-ca-fonctionne","https://wealthsimple.com/invite/9C6DMQ","","lien de parrainage","_blank",""
