"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://wealthsimplebonus.ca/fr/contact","https://wealthsimplebonus.ca/fr/","0","","section FAQ","308","Permanent Redirect","true","","","Root-Relative","//body/main/section[2]/div/p[2]/a[2]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/contact","https://wealthsimplebonus.ca/fr/","0","","section FAQ complète","308","Permanent Redirect","true","","","Root-Relative","//body/main/section[3]/div/p[2]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/contact","https://wealthsimplebonus.ca/fr/","0","","Voir la FAQ","308","Permanent Redirect","true","","","Root-Relative","//body/main/section[4]/div/a","Content","HTML"
