"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://wealthsimplebonus.ca/blog","https://wealthsimplebonus.ca/blog/2","33503","","Older posts","200","OK","true","","","Root-Relative","//body/main/section/div/div/a[2]","Content","HTML"
"HTML Canonical","https://wealthsimplebonus.ca/blog/2","https://wealthsimplebonus.ca/blog/2","33503","","","200","OK","true","","","Absolute","//head/link[7]","Head","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/blogue/2","33685","","Older posts","200","OK","true","","","Root-Relative","//body/section/div/div/a[2]","Content","HTML"
"HTML Canonical","https://wealthsimplebonus.ca/fr/blogue/2","https://wealthsimplebonus.ca/fr/blogue/2","33685","","","200","OK","true","","","Absolute","//head/link[7]","Head","HTML"
