"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://wealthsimplebonus.ca/blog/promo-code-vs-referral-code","https://help.wealthsimple.com/hc/en-ca/articles/1260803566110","0","","https://help.wealthsimple.com/hc/en-ca/articles/1260803566110","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-6']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/promo-code-vs-referral-code","https://help.wealthsimple.com/hc/en-ca/articles/19154942940059","0","","https://help.wealthsimple.com/hc/en-ca/articles/19154942940059","404","Not Found","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-3']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/core-vs-premium-vs-generation","https://help.wealthsimple.com/hc/en-ca/articles/4408576949787","0","","https://help.wealthsimple.com/hc/en-ca/articles/4408576949787","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-5']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-vs-questrade-2025","https://www.questrade.com/learning/questrade-basics/administrative-fees/ecn-fees","0","","https://www.questrade.com/learning/questrade-basics/administrative-fees/ecn-fees","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-7']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-vs-questrade-2025","https://www.questrade.com/about-us/programs/refer-a-friend","0","","https://www.questrade.com/about-us/programs/refer-a-friend","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-8']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/core-vs-premium-vs-generation","https://www.wealthsimple.com/en-ca/product/credit-card","0","","https://www.wealthsimple.com/en-ca/product/credit-card","404","Not Found","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-4']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-vs-questrade-2025","https://www.questrade.com/pricing/exchange-rates","0","","https://www.questrade.com/pricing/exchange-rates","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-4']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-vs-questrade-2025","https://www.questrade.com/questwealth-portfolios/pricing","0","","https://www.questrade.com/questwealth-portfolios/pricing","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-5']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-cash-account-review","https://www.canada.ca/en/financial-consumer-agency/services/banking/foreign-currency-conversion.html","4537","","https://www.canada.ca/en/financial-consumer-agency/services/banking/foreign-currency-conversion.html","404","Not Found","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-2']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-vs-questrade-2025","https://www.theglobeandmail.com/investing/markets/inside-the-market/article-questrade-commission-free-trading/","122022","","https://www.theglobeandmail.com/investing/markets/inside-the-market/article-questrade-commission-free-trading/","404","Not Found","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-3']/p/a[1]","Content","HTML"
