"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://wealthsimplebonus.ca/about","0","","0","Indexable",""
"https://wealthsimplebonus.ca/fr/a-propos","0","","0","Indexable",""
