"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://wealthsimplebonus.ca/blog/wealthsimple-referral-code-2025","Indexable","","1","","59","19","0","15.970","58","21","0","12","8","0"
"https://wealthsimplebonus.ca/blog/wealthsimple-crypto-vs-newton-vs-shakepay","Indexable","","1","","36","13","0","10.920","48","20","0","13","9","0"
"https://wealthsimplebonus.ca/blog/wealthsimple-vs-questrade-2025","Indexable","","2","","34","13","0","10.920","50","20","0","11","10","0"
"https://wealthsimplebonus.ca/blog/wealthsimple-tax-review-2025","Indexable","","3","","28","9","0","7.560","48","19","0","11","9","0"
