"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Indexability","Indexability Status"
"https://wealthsimplebonus.ca/about","369","58","6.362","47.226","Hard","Indexable",""
"https://wealthsimplebonus.ca/tag/referral-bonus-eligibility","50","12","4.167","46.942","Hard","Indexable",""
