wealthsimple-crypto-vs-newton-vs-shakepay.mdx,8,8,4,4
referral-ladder-challenge.md,10,10,8,4
promo-code-vs-referral-code.md,15,16,10,12
add-referral-code-after-signup.md,10,11,7,7
referral-bonus-terms-conditions.md,10,10,9,7
wealthsimple-guide.md,16,15,0,8
wealthsimple-cash-account-review.md,11,10,9,4
core-vs-premium-vs-generation.md,9,9,7,4
wealthsimple-vs-questrade-2025.mdx,14,17,7,7
wealthsimple-tax-review-2025.md,12,11,8,4
